sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Alzheimer's disease	Essential hypertension	1846	121	ukb
Alzheimer's disease	Other tests	1786	NA	ukb
Alzheimer's disease	Senile dementia	1167	NA	ukb
Alzheimer's disease	Urinary tract infection	1065	NA	ukb
Alzheimer's disease	Hypercholesterolemia	997	202	ukb
Alzheimer's disease	Symptoms involving nervous and musculoskeletal systems	977	NA	ukb
Alzheimer's disease	Cataract	820	1	ukb
Alzheimer's disease	Coronary atherosclerosis	806	188	ukb
Alzheimer's disease	Other chronic ischemic heart disease, unspecified	769	NA	ukb
Alzheimer's disease	Circulatory disease NEC	749	19	ukb
Alzheimer's disease	Constipation	733	1	ukb
Alzheimer's disease	Acute renal failure	699	NA	ukb
Alzheimer's disease	Osteoarthrosis NOS	680	NA	ukb
Alzheimer's disease	Major depressive disorder	665	NA	ukb
Alzheimer's disease	Type 2 diabetes	649	106	ukb
Alzheimer's disease	Benign neoplasm of colon	627	5	ukb
Alzheimer's disease	Myocardial infarction	622	177	ukb
Alzheimer's disease	Superficial injury without mention of infection	616	NA	ukb
Alzheimer's disease	Abnormality of gait	613	NA	ukb
Alzheimer's disease	Osteoarthritis; localized	585	NA	ukb
Alzheimer's disease	Other ill-defined and unknown causes of morbidity and mortality	577	NA	ukb
Alzheimer's disease	Symptoms involving digestive system	575	NA	ukb
Alzheimer's disease	Urinary incontinence	575	NA	ukb
Alzheimer's disease	Syncope and collapse	545	NA	ukb
Alzheimer's disease	Altered mental status	541	128	ukb
Alzheimer's disease	Other diseases of respiratory system, NEC	540	NA	ukb
Alzheimer's disease	Hypovolemia	521	NA	ukb
Alzheimer's disease	Diaphragmatic hernia	520	42	ukb
Alzheimer's disease	Angina pectoris	508	172	ukb
Alzheimer's disease	Pneumococcal pneumonia	472	NA	ukb
Alzheimer's disease	Other anemias	460	7	ukb
Alzheimer's disease	Retention of urine	452	NA	ukb
Alzheimer's disease	Family history	445	NA	ukb
Alzheimer's disease	Senile cataract	428	1	ukb
Alzheimer's disease	Iron deficiency anemias, unspecified or not due to blood loss	407	NA	ukb
Alzheimer's disease	Personal history of diseases of digestive system	394	NA	ukb
Alzheimer's disease	Hyperplasia of prostate	394	NA	ukb
Alzheimer's disease	Sepsis	394	NA	ukb
Alzheimer's disease	Complications of transplants and reattached limbs	389	NA	ukb
Alzheimer's disease	GERD	379	NA	ukb
Alzheimer's disease	Pneumonia	377	NA	ukb
Alzheimer's disease	Decubitus ulcer	374	NA	ukb
Alzheimer's disease	Atrial fibrillation and flutter	364	14	ukb
Alzheimer's disease	Hypothyroidism NOS	356	6	ukb
Alzheimer's disease	Cerebral ischemia	356	28	ukb
Alzheimer's disease	Allergy/adverse effect of penicillin	354	NA	ukb
Alzheimer's disease	Delirium dementia and amnestic and other cognitive disorders	349	70	ukb
Alzheimer's disease	Gastritis and duodenitis	348	NA	ukb
Alzheimer's disease	Chronic airway obstruction	339	16	ukb
Alzheimer's disease	Pain in joint	335	NA	ukb
Alzheimer's disease	Adverse drug events and drug allergies	329	NA	ukb
Alzheimer's disease	Anxiety disorder	325	NA	ukb
Alzheimer's disease	Symptoms concerning nutrition, metabolism, and development	318	NA	ukb
Alzheimer's disease	Hematuria	313	NA	ukb
Alzheimer's disease	Dysphagia	308	NA	ukb
Alzheimer's disease	Abdominal pain	308	NA	ukb
Alzheimer's disease	Chronic Kidney Disease, Stage III	306	NA	ukb
Alzheimer's disease	Nausea and vomiting	305	NA	ukb
Alzheimer's disease	Malignant neoplasm, other	302	NA	ukb
Alzheimer's disease	Inguinal hernia	301	17	ukb
Alzheimer's disease	Pleurisy; pleural effusion	289	NA	ukb
Alzheimer's disease	Injury, NOS	281	NA	ukb
Alzheimer's disease	Osteoarthrosis, localized, primary	273	NA	ukb
Alzheimer's disease	Chronic renal failure [CKD]	272	NA	ukb
Alzheimer's disease	Orthostatic hypotension	271	NA	ukb
Alzheimer's disease	Hypotension NOS	271	NA	ukb
Alzheimer's disease	Obesity	265	103	ukb
Alzheimer's disease	Noninfectious gastroenteritis	262	NA	ukb
Alzheimer's disease	Other open wound of head and face	260	NA	ukb
Alzheimer's disease	Hearing loss	258	NA	ukb
Alzheimer's disease	E. coli	257	NA	ukb
Alzheimer's disease	Other specified cardiac dysrhythmias	248	85	ukb
Alzheimer's disease	Pneumonitis due to inhalation of food or vomitus	235	5	ukb
Alzheimer's disease	Obstructive chronic bronchitis	233	NA	ukb
Alzheimer's disease	Epilepsy, recurrent seizures, convulsions	231	NA	ukb
Alzheimer's disease	Malaise and fatigue	229	NA	ukb
Alzheimer's disease	Hyposmolality and/or hyponatremia	225	10	ukb
Alzheimer's disease	Contusion	223	NA	ukb
Alzheimer's disease	Hypopotassemia	221	NA	ukb
Alzheimer's disease	Vitamin D deficiency	217	NA	ukb
Alzheimer's disease	Fracture of neck of femur	213	NA	ukb
Alzheimer's disease	Hyperlipidemia	212	177	ukb
Alzheimer's disease	Parkinson's disease	211	NA	ukb
Alzheimer's disease	Other disorders of bladder	211	NA	ukb
Alzheimer's disease	Shortness of breath	210	NA	ukb
Alzheimer's disease	Back pain	203	NA	ukb
Alzheimer's disease	Other symptoms/disorders or the urinary system	201	NA	ukb
Alzheimer's disease	Esophagitis, GERD and related diseases	195	NA	ukb
Alzheimer's disease	Other specified gastritis	194	NA	ukb
Alzheimer's disease	Heart failure NOS	191	63	ukb
Alzheimer's disease	Dizziness and giddiness (Light-headedness and vertigo)	188	NA	ukb
Alzheimer's disease	Pain in limb	188	NA	ukb
Alzheimer's disease	Hemorrhage of gastrointestinal tract	186	NA	ukb
Alzheimer's disease	Abnormal results of function study of liver	184	NA	ukb
Alzheimer's disease	Cardiac pacemaker in situ	177	57	ukb
Alzheimer's disease	Cerebral degeneration, unspecified	176	NA	ukb
Alzheimer's disease	Other headache syndromes	176	NA	ukb
Alzheimer's disease	Cerebral artery occlusion, with cerebral infarction	176	NA	ukb
Alzheimer's disease	Glaucoma	175	NA	ukb
Alzheimer's disease	Cholelithiasis	175	87	ukb
Alzheimer's disease	Cerebrovascular disease	172	NA	ukb
Alzheimer's disease	Disorder of skin and subcutaneous tissue NOS	172	NA	ukb
Alzheimer's disease	Dyspepsia and other specified disorders of function of stomach	170	NA	ukb
Alzheimer's disease	Reflux esophagitis	169	NA	ukb
Alzheimer's disease	Edema	162	NA	ukb
Alzheimer's disease	Hemorrhage of rectum and anus	161	NA	ukb
Alzheimer's disease	Cardiomegaly	160	23	ukb
Alzheimer's disease	Complication of internal orthopedic device	158	NA	ukb
Alzheimer's disease	Enthesopathy	157	NA	ukb
Alzheimer's disease	Other non-epithelial cancer of skin	156	2	ukb
Alzheimer's disease	Hyperosmolality and/or hypernatremia	156	62	ukb
Alzheimer's disease	Fracture of radius and ulna	151	NA	ukb
Alzheimer's disease	Fever of unknown origin	150	NA	ukb
Alzheimer's disease	Bacterial infection NOS	149	NA	ukb
Alzheimer's disease	Poisoning by analgesics, antipyretics, and antirheumatics	147	NA	ukb
Alzheimer's disease	Other peripheral nerve disorders	146	NA	ukb
Alzheimer's disease	Pulmonary collapse; interstitial and compensatory emphysema	146	NA	ukb
Alzheimer's disease	Prolapse of vaginal walls	141	NA	ukb
Alzheimer's disease	Breast cancer	140	NA	ukb
Alzheimer's disease	Vitamin B-complex deficiencies	138	NA	ukb
Alzheimer's disease	Anal and rectal polyp	138	NA	ukb
Alzheimer's disease	Hypoglycemia	137	NA	ukb
Alzheimer's disease	Congestive heart failure (CHF) NOS	135	NA	ukb
Alzheimer's disease	Internal derangement of knee	134	NA	ukb
Alzheimer's disease	Atopic/contact dermatitis due to other or unspecified	134	1	ukb
Alzheimer's disease	Develomental delays and disorders	133	23	ukb
Alzheimer's disease	Irritable Bowel Syndrome	133	NA	ukb
Alzheimer's disease	Anal and rectal conditions	132	NA	ukb
Alzheimer's disease	Memory loss	131	23	ukb
Alzheimer's disease	Precordial pain	131	NA	ukb
Alzheimer's disease	Nonrheumatic aortic valve disorders	130	NA	ukb
Alzheimer's disease	Macular degeneration (senile) of retina NOS	128	20	ukb
Alzheimer's disease	Unstable angina (intermediate coronary syndrome)	128	144	ukb
Alzheimer's disease	Rheumatoid arthritis	128	1	ukb
Alzheimer's disease	Adverse effects of antibacterials (not penicillins)	127	NA	ukb
Alzheimer's disease	Viral infection	126	NA	ukb
Alzheimer's disease	Varicose veins of lower extremity	126	NA	ukb
Alzheimer's disease	Other disorders of metabolism	125	NA	ukb
Alzheimer's disease	Respiratory failure	125	NA	ukb
Alzheimer's disease	Duodenitis	125	NA	ukb
Alzheimer's disease	Pulmonary embolism and infarction, acute	124	NA	ukb
Alzheimer's disease	Cancer of prostate	123	NA	ukb
Alzheimer's disease	Hemorrhoids	123	1	ukb
Alzheimer's disease	Chronic ulcer of leg or foot	122	NA	ukb
Alzheimer's disease	Other disorders of bone and cartilage	121	NA	ukb
Alzheimer's disease	Other forms of chronic heart disease	119	64	ukb
Alzheimer's disease	Cough	119	NA	ukb
Alzheimer's disease	Candidiasis	117	NA	ukb
Alzheimer's disease	Benign neoplasm of other parts of digestive system	117	NA	ukb
Alzheimer's disease	Left bundle branch block	117	NA	ukb
Alzheimer's disease	Nonrheumatic mitral valve disorders	116	NA	ukb
Alzheimer's disease	Other chronic nonalcoholic liver disease	113	40	ukb
Alzheimer's disease	Postmenopausal bleeding	112	NA	ukb
Alzheimer's disease	Spondylosis without myelopathy	111	NA	ukb
Alzheimer's disease	Mechanical complication of unspecified genitourinary device, implant, and graft	111	NA	ukb
Alzheimer's disease	Peripheral vascular disease, unspecified	109	NA	ukb
Alzheimer's disease	Peripheral enthesopathies and allied syndromes	109	NA	ukb
Alzheimer's disease	Degeneration of intervertebral disc	108	NA	ukb
Alzheimer's disease	First degree AV block	107	NA	ukb
Alzheimer's disease	Right bundle branch block	107	NA	ukb
Alzheimer's disease	Alcoholism	105	NA	ukb
Alzheimer's disease	Atrial fibrillation	102	NA	ukb
Alzheimer's disease	Hematemesis	102	NA	ukb
Alzheimer's disease	Fracture of pelvis	102	NA	ukb
Alzheimer's disease	Methicillin sensitive Staphylococcus aureus	100	NA	ukb
Alzheimer's disease	Sleep apnea	100	NA	ukb
Alzheimer's disease	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	99	NA	ukb
Alzheimer's disease	Viral pneumonia	99	NA	ukb
Alzheimer's disease	Hemiplegia	98	NA	ukb
Alzheimer's disease	Complications of surgical and medical procedures	97	NA	ukb
Alzheimer's disease	Type 1 diabetes	96	4	ukb
Alzheimer's disease	Rheumatic disease of the heart valves	94	NA	ukb
Alzheimer's disease	Other disorders of stomach and duodenum	93	NA	ukb
Alzheimer's disease	Tachycardia NOS	91	NA	ukb
Alzheimer's disease	Gout	90	29	ukb
Alzheimer's disease	Spinal stenosis of lumbar region	90	NA	ukb
Alzheimer's disease	Type 2 diabetes with ophthalmic manifestations	89	1	ukb
Alzheimer's disease	Aphasia/speech disturbance	89	NA	ukb
Alzheimer's disease	Fracture of vertebral column without mention of spinal cord injury	89	NA	ukb
Alzheimer's disease	Effects radiation NOS	89	NA	ukb
Alzheimer's disease	Ulcer of esophagus	88	NA	ukb
Alzheimer's disease	Gastric ulcer	88	NA	ukb
Alzheimer's disease	Disorders of calcium/phosphorus metabolism	87	NA	ukb
Alzheimer's disease	Acidosis	87	NA	ukb
