sel_phenotype,biomolecular,co_phenotype,institution,# of shared individuals,# of shared significant biomolecules (adjusted),co_phecode,shared_biomolecules,p_value
Alzheimer's disease,Leucine-rich repeat neuronal protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,14-3-3 protein epsilon,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Tight junction protein ZO-1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Deoxycytidine kinase,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Carboxypeptidase E,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Killer cell immunoglobulin-like receptor 2DL5A,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Trem-like transcript 1 protein,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Moesin,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Tubulin-specific chaperone A,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cardiotrophin-1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,ADP-ribosylation factor-like protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,TOMM20-like protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,DNA-directed RNA polymerases I and III subunit RPAC1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Small nuclear ribonucleoprotein F,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Protein S100-A13,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Beta-soluble NSF attachment protein,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Zinc finger protein 276,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Casein kinase I isoform delta,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Epididymal-specific lipocalin-10,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Estrogen sulfotransferase,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,PH and SEC7 domain-containing protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Beta-defensin 119,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Nuclear receptor-binding protein,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Glutathione S-transferase Mu 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Protein MENT,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Interleukin-22 receptor subunit alpha-1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Low-density lipoprotein receptor-related protein 1B,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Protein CEI,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,C-reactive protein,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Stromal interaction molecule 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Sorting nexin-7,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Apolipoprotein B,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cold shock domain-containing protein C2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Ras-related protein Rab-14,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,N-palmitoyl-sphingosine (d18:1/16:0),Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesterol in large HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Cholesteryl esters in large HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Concentration of large HDL particles,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Total lipids in large HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Free cholesterol in large HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Phospholipids in large HDL,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Ubiquitin-conjugating enzyme E2 G2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,palmitoyl sphingomyelin (d18:1/16:0),Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Omega-3 fatty acids,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Linoleic acid,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Neutrophil collagenase,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Epididymis-specific alpha-mannosidase,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Beta-1,3-N-acetylglucosaminyltransferase radical fringe,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,TOM1-like protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,M-phase inducer phosphatase 2,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Adhesion G-protein coupled receptor F1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,CUB and zona pellucida-like domain-containing protein 1,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,Selenoprotein S,Dementias,ukb,83,220,290.10,220,0.077309682187731
Alzheimer's disease,cholesterol,Dementias,ukb,83,220,290.10,220,0.077309682187731
